_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ mapa_random_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
iteração 376 mapa_random| tempo exec  13.701165676116943
iteração 377 mapa_random| tempo exec  13.683519124984741
iteração 378 mapa_random| tempo exec  13.977161169052124
iteração 379 mapa_random| tempo exec  13.325236558914185
iteração 380 mapa_random| tempo exec  13.29018759727478
iteração 381 mapa_random| tempo exec  13.508159637451172
iteração 382 mapa_random| tempo exec  13.651207685470581
iteração 383 mapa_random| tempo exec  12.069435596466064
iteração 384 mapa_random| tempo exec  14.316202402114868
iteração 385 mapa_random| tempo exec  12.388876676559448
iteração 386 mapa_random| tempo exec  13.029289484024048
iteração 387 mapa_random| tempo exec  13.414199829101562
iteração 388 mapa_random| tempo exec  13.47123908996582
iteração 389 mapa_random| tempo exec  11.98367428779602
iteração 390 mapa_random| tempo exec  12.971814155578613
iteração 391 mapa_random| tempo exec  13.092999696731567
iteração 392 mapa_random| tempo exec  13.901495933532715
iteração 393 mapa_random| tempo exec  13.476118803024292
iteração 394 mapa_random| tempo exec  13.045304775238037
iteração 395 mapa_random| tempo exec  13.492563486099243
iteração 396 mapa_random| tempo exec  12.400562286376953
iteração 397 mapa_random| tempo exec  12.904364109039307
iteração 398 mapa_random| tempo exec  14.35612964630127
iteração 399 mapa_random| tempo exec  13.032831192016602
iteração 400 mapa_random| tempo exec  12.926051139831543
iteração 401 mapa_random| tempo exec  13.39119291305542
iteração 402 mapa_random| tempo exec  13.784624576568604
iteração 403 mapa_random| tempo exec  14.295873641967773
iteração 404 mapa_random| tempo exec  12.848946571350098
iteração 405 mapa_random| tempo exec  14.522033214569092
iteração 406 mapa_random| tempo exec  13.216934442520142
iteração 407 mapa_random| tempo exec  14.037847518920898
iteração 408 mapa_random| tempo exec  14.161061525344849
iteração 409 mapa_random| tempo exec  13.989442586898804
iteração 410 mapa_random| tempo exec  13.640865087509155
iteração 411 mapa_random| tempo exec  9.324260473251343
iteração 412 mapa_random| tempo exec  14.483542442321777
iteração 413 mapa_random| tempo exec  13.15404200553894
iteração 414 mapa_random| tempo exec  12.96991229057312
iteração 415 mapa_random| tempo exec  13.902653455734253
iteração 416 mapa_random| tempo exec  12.255305051803589
iteração 417 mapa_random| tempo exec  13.7151517868042
iteração 418 mapa_random| tempo exec  13.09399938583374
iteração 419 mapa_random| tempo exec  13.591449499130249
iteração 420 mapa_random| tempo exec  13.307800054550171
iteração 421 mapa_random| tempo exec  13.65116286277771
iteração 422 mapa_random| tempo exec  13.294103860855103
iteração 423 mapa_random| tempo exec  13.127306938171387
iteração 424 mapa_random| tempo exec  12.916390180587769
iteração 425 mapa_random| tempo exec  13.699763536453247
iteração 426 mapa_random| tempo exec  14.13301157951355
iteração 427 mapa_random| tempo exec  14.608616828918457
iteração 428 mapa_random| tempo exec  12.9745454788208
iteração 429 mapa_random| tempo exec  13.665588140487671
iteração 430 mapa_random| tempo exec  11.937390327453613
iteração 431 mapa_random| tempo exec  13.191860437393188
iteração 432 mapa_random| tempo exec  14.28317379951477
iteração 433 mapa_random| tempo exec  13.285677909851074
iteração 434 mapa_random| tempo exec  14.035148620605469
iteração 435 mapa_random| tempo exec  14.016990423202515
iteração 436 mapa_random| tempo exec  12.65449857711792
iteração 437 mapa_random| tempo exec  12.30592679977417
iteração 438 mapa_random| tempo exec  13.36336064338684
iteração 439 mapa_random| tempo exec  13.317101955413818
iteração 440 mapa_random| tempo exec  11.858158588409424
iteração 441 mapa_random| tempo exec  12.608449697494507
iteração 442 mapa_random| tempo exec  14.223230361938477
iteração 443 mapa_random| tempo exec  13.660366535186768
iteração 444 mapa_random| tempo exec  13.036312818527222
iteração 445 mapa_random| tempo exec  13.383163690567017
iteração 446 mapa_random| tempo exec  13.04981017112732
iteração 447 mapa_random| tempo exec  14.280231714248657
iteração 448 mapa_random| tempo exec  11.735073566436768
iteração 449 mapa_random| tempo exec  13.135996103286743
iteração 450 mapa_random| tempo exec  13.196122884750366
iteração 451 mapa_random| tempo exec  14.816587209701538
iteração 452 mapa_random| tempo exec  12.670908451080322
iteração 453 mapa_random| tempo exec  14.026793718338013
iteração 454 mapa_random| tempo exec  13.28847622871399
iteração 455 mapa_random| tempo exec  13.615697145462036
iteração 456 mapa_random| tempo exec  11.207082271575928
iteração 457 mapa_random| tempo exec  14.41230320930481
iteração 458 mapa_random| tempo exec  14.184568881988525
iteração 459 mapa_random| tempo exec  13.966684818267822
iteração 460 mapa_random| tempo exec  13.652948141098022
iteração 461 mapa_random| tempo exec  13.319707155227661
iteração 462 mapa_random| tempo exec  12.296377420425415
iteração 463 mapa_random| tempo exec  13.237154245376587
iteração 464 mapa_random| tempo exec  12.931571245193481
iteração 465 mapa_random| tempo exec  13.601708173751831
iteração 466 mapa_random| tempo exec  13.355722427368164
iteração 467 mapa_random| tempo exec  12.787533283233643
iteração 468 mapa_random| tempo exec  11.011242628097534
iteração 469 mapa_random| tempo exec  14.203782796859741
iteração 470 mapa_random| tempo exec  13.845371007919312
iteração 471 mapa_random| tempo exec  13.308438539505005
iteração 472 mapa_random| tempo exec  11.833475589752197
iteração 473 mapa_random| tempo exec  13.349928855895996
iteração 474 mapa_random| tempo exec  12.819636344909668
iteração 475 mapa_random| tempo exec  13.513447523117065
iteração 476 mapa_random| tempo exec  13.986180782318115
iteração 477 mapa_random| tempo exec  14.586655616760254
iteração 478 mapa_random| tempo exec  13.335702419281006
iteração 479 mapa_random| tempo exec  13.450876474380493
iteração 480 mapa_random| tempo exec  13.643016338348389
iteração 481 mapa_random| tempo exec  14.38173246383667
iteração 482 mapa_random| tempo exec  14.347568988800049
iteração 483 mapa_random| tempo exec  13.194597721099854
iteração 484 mapa_random| tempo exec  12.942677736282349
iteração 485 mapa_random| tempo exec  13.274429321289062
iteração 486 mapa_random| tempo exec  13.311572551727295
iteração 487 mapa_random| tempo exec  13.45824909210205
iteração 488 mapa_random| tempo exec  13.16038727760315
iteração 489 mapa_random| tempo exec  13.412184953689575
iteração 490 mapa_random| tempo exec  13.84527039527893
iteração 491 mapa_random| tempo exec  13.506818771362305
iteração 492 mapa_random| tempo exec  14.090048789978027
iteração 493 mapa_random| tempo exec  13.39127230644226
iteração 494 mapa_random| tempo exec  13.368142366409302
